store,key_len,value_len,num_keys,num_gets,trial,insert_mops,get_mops
KVStore,64,64,1000000,10000000,4,2.28,3.90
KVStore,64,64,1000000,10000000,5,2.33,4.93
std::unordered_map,64,64,1000000,10000000,1,2.91,4.80
std::unordered_map,64,64,1000000,10000000,2,4.86,5.70
std::unordered_map,64,64,1000000,10000000,3,5.69,5.71
std::unordered_map,64,64,1000000,10000000,4,6.37,5.85
std::unordered_map,64,64,1000000,10000000,5,6.17,5.81
KVStoreOpen,64,64,1000000,10000000,1,3.67,5.43
KVStoreOpen,64,64,1000000,10000000,2,4.04,5.39
KVStoreOpen,64,64,1000000,10000000,3,4.24,5.48
KVStoreOpen,64,64,1000000,10000000,4,4.39,5.52
KVStoreOpen,64,64,1000000,10000000,5,4.27,5.44
KVStoreArena,64,64,1000000,10000000,1,6.28,5.81
KVStoreArena,64,64,1000000,10000000,2,7.06,5.78
KVStoreArena,64,64,1000000,10000000,3,6.67,5.35
KVStoreArena,64,64,1000000,10000000,4,6.07,5.69
KVStoreArena,64,64,1000000,10000000,5,6.62,5.62
