store,key_len,value_len,num_keys,num_gets,slots,trial,insert_mops,get_mops
std::unordered_map,16,16,4000000,10000000,8000000,5,5.15,7.60
KVStoreOpen,16,16,4000000,10000000,8000000,1,8.41,8.52
KVStoreOpen,16,16,4000000,10000000,8000000,2,13.11,9.26
KVStoreOpen,16,16,4000000,10000000,8000000,3,14.26,10.26
KVStoreOpen,16,16,4000000,10000000,8000000,4,12.03,10.42
KVStoreOpen,16,16,4000000,10000000,8000000,5,11.14,8.74
KVStoreArena,16,16,4000000,10000000,8000000,1,7.18,5.80
KVStoreArena,16,16,4000000,10000000,8000000,2,6.43,5.93
KVStoreArena,16,16,4000000,10000000,8000000,3,8.65,5.87
KVStoreArena,16,16,4000000,10000000,8000000,4,7.89,5.78
KVStoreArena,16,16,4000000,10000000,8000000,5,9.07,5.66
